Year,Tm,Lg,W,L,Finish,Playoffs,Attendance,Attend/G,Rank,Est. Payroll,PPF,BPF,Stadium
1994,Chicago White Sox,AL Central,67,46,1,,"1,697,398","32,026",6th of 14,"$39,183,836",97,98,Comiskey Park II
1993,Chicago White Sox,AL West,94,68,1,Lost ALCS (4-2),"2,581,091","31,865",3rd of 14,"$39,696,166",97,98,Comiskey Park II
1992,Chicago White Sox,AL West,86,76,3,,"2,681,156","32,697",3rd of 14,"$30,160,833",98,99,Comiskey Park II
1991,Chicago White Sox,AL West,87,75,2,,"2,934,154","36,224",2nd of 14,"$16,919,667",97,98,Comiskey Park II
1990,Chicago White Sox,AL West,94,68,2,,"2,002,357","25,029",9th of 14,"$10,721,500",98,98,Comiskey Park I
1989,Chicago White Sox,AL West,69,92,7,,"1,045,651","13,071",14th of 14,"$8,565,410",98,97,Comiskey Park I
1988,Chicago White Sox,AL West,71,90,5,,"1,115,749","13,775",13th of 14,"$8,537,500",100,100,Comiskey Park I
1987,Chicago White Sox,AL West,77,85,5,,"1,208,060","14,914",12th of 14,"$12,135,343",103,102,Comiskey Park I
1986,Chicago White Sox,AL West,72,90,5,,"1,424,313","17,584",10th of 14,"$10,418,819",104,104,Comiskey Park I
1985,Chicago White Sox,AL West,85,77,3,,"1,669,888","20,616",8th of 14,"$9,846,178",104,104,Comiskey Park I
1984,Chicago White Sox,AL West,74,88,5,,"2,136,988","26,383",3rd of 14,,104,105,Comiskey Park I
1983,Chicago White Sox,AL West,99,63,1,Lost ALCS (3-1),"2,132,821","26,331",4th of 14,,103,104,Comiskey Park I
1982,Chicago White Sox,AL West,87,75,3,,"1,567,787","19,597",9th of 14,,99,100,Comiskey Park I
1981,Chicago White Sox,AL West,54,52,3,,"946,651","19,319",8th of 14,,97,97,Comiskey Park I
1980,Chicago White Sox,AL West,70,90,5,,"1,200,365","14,819",9th of 14,,100,99,Comiskey Park I
1979,Chicago White Sox,AL West,73,87,5,,"1,280,702","16,211",10th of 14,,101,100,Comiskey Park I
1978,Chicago White Sox,AL West,71,90,5,,"1,491,100","18,639",8th of 14,,101,101,Comiskey Park I
1977,Chicago White Sox,AL West,90,72,3,,"1,657,135","20,458",5th of 14,,101,100,Comiskey Park I
1976,Chicago White Sox,AL West,64,97,6,,"914,945","11,437",10th of 12,,102,101,Comiskey Park I
1975,Chicago White Sox,AL West,75,86,5,,"750,802","9,269",11th of 12,,103,102,White Sox Park
1974,Chicago White Sox,AL West,80,80,4,,"1,149,596","14,019",6th of 12,,104,103,White Sox Park
1973,Chicago White Sox,AL West,77,85,5,,"1,302,527","16,081",4th of 12,,105,104,White Sox Park
1972,Chicago White Sox,AL West,87,67,2,,"1,177,318","15,094",3rd of 12,,103,103,White Sox Park
1971,Chicago White Sox,AL West,79,83,3,,"833,891","10,295",9th of 12,,104,103,White Sox Park
1970,Chicago White Sox,AL West,56,106,6,,"495,355","5,897",12th of 12,,102,101,White Sox Park
1969,Chicago White Sox,AL West,68,94,5,,"589,546","7,278",12th of 12,,107,106,"White Sox Park, County Stadium"
1968,Chicago White Sox,AL,67,95,8,,"803,775","9,923",9th of 10,,107,105,"White Sox Park, County Stadium"
1967,Chicago White Sox,AL,89,73,4,,"985,634","12,020",6th of 10,,93,94,White Sox Park
1966,Chicago White Sox,AL,83,79,4,,"990,016","12,222",6th of 10,,92,93,White Sox Park
1965,Chicago White Sox,AL,95,67,2,,"1,130,519","13,957",3rd of 10,,91,93,White Sox Park
1964,Chicago White Sox,AL,98,64,2,,"1,250,053","15,433",2nd of 10,,95,97,White Sox Park
1963,Chicago White Sox,AL,94,68,2,,"1,158,848","14,132",3rd of 10,,96,98,White Sox Park
1962,Chicago White Sox,AL,85,77,5,,"1,131,562","13,970",5th of 10,,99,100,White Sox Park
1961,Chicago White Sox,AL,86,76,4,,"1,146,019","14,148",4th of 10,,97,98,Comiskey Park I
1960,Chicago White Sox,AL,87,67,3,,"1,644,460","21,357",1st of 8,,99,100,Comiskey Park I
1959,Chicago White Sox,AL,94,60,1,Lost WS (4-2),"1,423,144","18,245",3rd of 8,,98,99,Comiskey Park I
1958,Chicago White Sox,AL,82,72,2,,"797,451","10,357",6th of 8,,97,99,Comiskey Park I
1957,Chicago White Sox,AL,90,64,2,,"1,135,668","14,749",4th of 8,,99,101,Comiskey Park I
1956,Chicago White Sox,AL,85,69,3,,"1,000,090","12,988",5th of 8,,98,101,Comiskey Park I
1955,Chicago White Sox,AL,91,63,3,,"1,175,684","15,269",6th of 8,,99,102,Comiskey Park I
1954,Chicago White Sox,AL,94,60,3,,"1,231,629","15,790",3rd of 8,,101,104,Comiskey Park I
1953,Chicago White Sox,AL,89,65,3,,"1,191,353","15,274",2nd of 8,,100,103,Comiskey Park I
1952,Chicago White Sox,AL,81,73,3,,"1,231,675","15,591",3rd of 8,,99,101,Comiskey Park I
1951,Chicago White Sox,AL,81,73,4,,"1,328,234","17,029",3rd of 8,,98,98,Comiskey Park I
1950,Chicago White Sox,AL,60,94,6,,"781,330","9,890",5th of 8,,98,97,Comiskey Park I
1949,Chicago White Sox,AL,63,91,6,,"937,151","12,171",5th of 8,,99,96,Comiskey Park I
1948,Chicago White Sox,AL,51,101,8,,"777,844","10,235",7th of 8,,99,96,Comiskey Park I
1947,Chicago White Sox,AL,70,84,6,,"876,948","11,693",6th of 8,,98,95,Comiskey Park I
1946,Chicago White Sox,AL,74,80,5,,"983,403","12,448",6th of 8,,97,96,Comiskey Park I
1945,Chicago White Sox,AL,71,78,6,,"657,981","8,892",3rd of 8,,98,97,Comiskey Park I
1944,Chicago White Sox,AL,71,83,7,,"563,539","7,319",3rd of 8,,99,98,Comiskey Park I
1943,Chicago White Sox,AL,82,72,4,,"508,962","6,697",4th of 8,,100,99,Comiskey Park I
1942,Chicago White Sox,AL,66,82,6,,"425,734","6,082",5th of 8,,98,97,Comiskey Park I
1941,Chicago White Sox,AL,77,77,3,,"677,077","8,571",5th of 8,,99,99,Comiskey Park I
1940,Chicago White Sox,AL,82,72,4,,"660,336","8,466",5th of 8,,101,101,Comiskey Park I
1939,Chicago White Sox,AL,85,69,4,,"594,104","7,716",3rd of 8,,103,103,Comiskey Park I
1938,Chicago White Sox,AL,65,83,6,,"338,278","4,634",7th of 8,,103,103,Comiskey Park I
1937,Chicago White Sox,AL,86,68,3,,"589,245","7,653",3rd of 8,,100,100,Comiskey Park I
1936,Chicago White Sox,AL,81,70,4,,"440,810","5,877",5th of 8,,103,103,Comiskey Park I
1935,Chicago White Sox,AL,74,78,5,,"470,281","6,108",4th of 8,,103,102,Comiskey Park I
1934,Chicago White Sox,AL,53,99,8,,"236,559","3,154",7th of 8,,104,102,Comiskey Park I
1933,Chicago White Sox,AL,67,83,6,,"397,789","5,166",3rd of 8,,98,94,Comiskey Park I
1932,Chicago White Sox,AL,49,102,7,,"233,198","3,029",6th of 8,,96,93,Comiskey Park I
1931,Chicago White Sox,AL,56,97,8,,"403,550","5,241",6th of 8,,97,94,Comiskey Park I
1930,Chicago White Sox,AL,62,92,7,,"406,123","5,207",7th of 8,,99,96,Comiskey Park I
1929,Chicago White Sox,AL,59,93,7,,"426,795","5,616",5th of 8,,100,98,Comiskey Park I
1928,Chicago White Sox,AL,72,82,5,,"494,152","6,335",3rd of 8,,100,98,Comiskey Park I
1927,Chicago White Sox,AL,70,83,5,,"614,423","8,192",3rd of 8,,98,98,Comiskey Park I
1926,Chicago White Sox,AL,81,72,5,,"710,339","8,992",3rd of 8,,96,97,Comiskey Park I
1925,Chicago White Sox,AL,79,75,5,,"832,231","10,808",2nd of 8,,94,95,Comiskey Park I
1924,Chicago White Sox,AL,66,87,8,,"606,658","7,879",3rd of 8,,97,97,Comiskey Park I
1923,Chicago White Sox,AL,69,85,7,,"573,778","7,650",3rd of 8,,99,98,Comiskey Park I
1922,Chicago White Sox,AL,77,77,5,,"602,860","7,829",4th of 8,,100,99,Comiskey Park I
1921,Chicago White Sox,AL,62,92,7,,"543,650","7,060",4th of 8,,98,98,Comiskey Park I
1920,Chicago White Sox,AL,96,58,2,,"833,492","10,825",3rd of 8,,99,100,Comiskey Park I
1919,Chicago White Sox,AL,88,52,1,Lost WS (5-3),"627,186","8,960",2nd of 8,,99,101,Comiskey Park I
1918,Chicago White Sox,AL,57,67,6,,"195,081","3,484",5th of 8,,99,101,Comiskey Park I
1917,Chicago White Sox,AL,100,54,1,Won WS (4-2),"684,521","8,665",1st of 8,,100,102,Comiskey Park I
1916,Chicago White Sox,AL,89,65,2,,"679,923","8,830",1st of 8,,98,101,Comiskey Park I
1915,Chicago White Sox,AL,93,61,3,,"539,461","6,829",2nd of 8,,102,103,Comiskey Park I
1914,Chicago White Sox,AL,70,84,6,,"469,290","5,794",2nd of 8,,98,99,Comiskey Park I
1913,Chicago White Sox,AL,78,74,5,,"644,501","8,370",1st of 8,,100,99,Comiskey Park I
1912,Chicago White Sox,AL,78,76,4,,"602,241","7,721",2nd of 8,,96,97,White Sox Park
1911,Chicago White Sox,AL,77,74,4,,"583,208","7,477",2nd of 8,,97,98,White Sox Park
1910,Chicago White Sox,AL,68,85,6,,"552,084","6,988",3rd of 8,,94,94,"South Side Park III, White Sox Park"
1909,Chicago White Sox,AL,78,74,4,,"478,400","5,906",5th of 8,,96,97,South Side Park III
1908,Chicago White Sox,AL,88,64,3,,"636,096","8,155",1st of 8,,97,98,South Side Park III
1907,Chicago White Sox,AL,87,64,3,,"666,307","8,434",1st of 8,,95,97,South Side Park III
1906,Chicago White Sox,AL,93,58,1,Won WS (4-2),"585,202","7,408",1st of 8,,94,97,South Side Park III
1905,Chicago White Sox,AL,92,60,2,,"687,419","8,383",1st of 8,,93,96,South Side Park III
1904,Chicago White Sox,AL,89,65,3,,"557,123","7,143",2nd of 8,,94,96,South Side Park III
1903,Chicago White Sox,AL,60,77,7,,"286,183","4,088",5th of 8,,94,95,South Side Park III
1902,Chicago White Sox,AL,74,60,4,,"337,898","4,693",3rd of 8,,94,94,South Side Park III
1901,Chicago White Sox,AL,83,53,1,,"354,350","4,991",1st of 8,,95,97,South Side Park III
